[21/05/2024][21:55:54]  | -system start log[21/05/2024][21:58:26]  | -system Read 340 ranking entries in 0.31 seconds.
[21/05/2024][21:58:26]  | -system -Write Ranking[21/05/2024][21:58:26]  | -system -Write Ranking[21/05/2024][22:00:58]  | -system Read 341 ranking entries in 0.31 seconds.
[21/05/2024][22:00:58]  | -system -Write Ranking[21/05/2024][22:00:58]  | -system -Write Ranking[21/05/2024][22:03:30]  | -system Read 341 ranking entries in 0.16 seconds.
[21/05/2024][22:03:30]  | -system -Write Ranking[21/05/2024][22:03:30]  | -system -Write Ranking[21/05/2024][22:06:04]  | -system Read 341 ranking entries in 0.47 seconds.
[21/05/2024][22:06:04]  | -system -Write Ranking[21/05/2024][22:06:04]  | -system -Write Ranking[21/05/2024][22:08:36]  | -system Read 341 ranking entries in 0.47 seconds.
[21/05/2024][22:08:36]  | -system -Write Ranking[21/05/2024][22:08:36]  | -system -Write Ranking[21/05/2024][22:11:08]  | -system Read 341 ranking entries in 0.31 seconds.
[21/05/2024][22:11:08]  | -system -Write Ranking[21/05/2024][22:11:08]  | -system -Write Ranking[21/05/2024][22:13:40]  | -system Read 341 ranking entries in 0.31 seconds.
[21/05/2024][22:13:40]  | -system -Write Ranking[21/05/2024][22:13:40]  | -system -Write Ranking[21/05/2024][22:16:12]  | -system Read 341 ranking entries in 0.16 seconds.
[21/05/2024][22:16:12]  | -system -Write Ranking[21/05/2024][22:16:12]  | -system -Write Ranking[21/05/2024][22:18:45]  | -system Read 341 ranking entries in 0.16 seconds.
[21/05/2024][22:18:45]  | -system -Write Ranking[21/05/2024][22:18:45]  | -system -Write Ranking[21/05/2024][22:21:17]  | -system Read 342 ranking entries in 0.31 seconds.
[21/05/2024][22:21:17]  | -system -Write Ranking[21/05/2024][22:21:17]  | -system -Write Ranking[21/05/2024][22:23:52]  | -system Read 342 ranking entries in 0.31 seconds.
[21/05/2024][22:23:52]  | -system -Write Ranking[21/05/2024][22:23:52]  | -system -Write Ranking[21/05/2024][22:26:24]  | -system Read 344 ranking entries in 0.31 seconds.
[21/05/2024][22:26:24]  | -system -Write Ranking[21/05/2024][22:26:24]  | -system -Write Ranking[21/05/2024][22:28:56]  | -system Read 344 ranking entries in 0.31 seconds.
[21/05/2024][22:28:56]  | -system -Write Ranking[21/05/2024][22:28:56]  | -system -Write Ranking[21/05/2024][22:31:28]  | -system Read 344 ranking entries in 0.31 seconds.
[21/05/2024][22:31:28]  | -system -Write Ranking[21/05/2024][22:31:28]  | -system -Write Ranking[21/05/2024][22:34:00]  | -system Read 344 ranking entries in 0.31 seconds.
[21/05/2024][22:34:00]  | -system -Write Ranking[21/05/2024][22:34:00]  | -system -Write Ranking[21/05/2024][22:36:32]  | -system Read 344 ranking entries in 0.31 seconds.
[21/05/2024][22:36:32]  | -system -Write Ranking[21/05/2024][22:36:32]  | -system -Write Ranking[21/05/2024][22:39:04]  | -system Read 345 ranking entries in 0.31 seconds.
[21/05/2024][22:39:04]  | -system -Write Ranking[21/05/2024][22:39:04]  | -system -Write Ranking[21/05/2024][22:41:36]  | -system Read 346 ranking entries in 0.47 seconds.
[21/05/2024][22:41:36]  | -system -Write Ranking[21/05/2024][22:41:36]  | -system -Write Ranking[21/05/2024][22:44:09]  | -system Read 346 ranking entries in 0.47 seconds.
[21/05/2024][22:44:09]  | -system -Write Ranking[21/05/2024][22:44:09]  | -system -Write Ranking[21/05/2024][22:46:41]  | -system Read 346 ranking entries in 0.31 seconds.
[21/05/2024][22:46:41]  | -system -Write Ranking[21/05/2024][22:46:41]  | -system -Write Ranking[21/05/2024][22:49:14]  | -system Read 347 ranking entries in 0.31 seconds.
[21/05/2024][22:49:14]  | -system -Write Ranking[21/05/2024][22:49:14]  | -system -Write Ranking[21/05/2024][22:51:46]  | -system Read 348 ranking entries in 0.31 seconds.
[21/05/2024][22:51:46]  | -system -Write Ranking[21/05/2024][22:51:46]  | -system -Write Ranking[21/05/2024][22:54:18]  | -system Read 348 ranking entries in 0.31 seconds.
[21/05/2024][22:54:18]  | -system -Write Ranking[21/05/2024][22:54:18]  | -system -Write Ranking[21/05/2024][22:55:55]  | ---- err createchar EEXIST[21/05/2024][22:56:50]  | -system Read 349 ranking entries in 0.46 seconds.
[21/05/2024][22:56:50]  | -system -Write Ranking[21/05/2024][22:56:50]  | -system -Write Ranking[21/05/2024][22:59:24]  | -system Read 349 ranking entries in 0.31 seconds.
[21/05/2024][22:59:24]  | -system -Write Ranking[21/05/2024][22:59:24]  | -system -Write Ranking[21/05/2024][23:01:56]  | -system Read 349 ranking entries in 0.31 seconds.
[21/05/2024][23:01:56]  | -system -Write Ranking[21/05/2024][23:01:56]  | -system -Write Ranking[21/05/2024][23:04:28]  | -system Read 350 ranking entries in 0.46 seconds.
[21/05/2024][23:04:28]  | -system -Write Ranking[21/05/2024][23:04:28]  | -system -Write Ranking[21/05/2024][21:04:55]  | -system Read 350 ranking entries in 0.31 seconds.
[21/05/2024][21:04:55]  | -system -Write Ranking[21/05/2024][21:04:55]  | -system -Write Ranking[21/05/2024][21:07:27]  | -system Read 350 ranking entries in 0.31 seconds.
[21/05/2024][21:07:27]  | -system -Write Ranking[21/05/2024][21:07:27]  | -system -Write Ranking[21/05/2024][21:09:59]  | -system Read 350 ranking entries in 0.16 seconds.
[21/05/2024][21:09:59]  | -system -Write Ranking[21/05/2024][21:09:59]  | -system -Write Ranking[21/05/2024][21:12:31]  | -system Read 350 ranking entries in 0.32 seconds.
