(21/05/2024|01:00:06) [MONOB3|A8:A7:95:DB:FD:92|187.19.188.243] : MobName:ErroR403 dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:00:16) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:00:34) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Poeira_de_Oriharucon:412 59.175.59.187.59.221 do mob:Morlock
(21/05/2024|01:00:34) [MAITOR3|98:83:89:F3:B0:6B|200.124.88.216] : MobName:Medusa dropou o item: Poeira_de_Lactolerium:413 59.142.59.94.59.100 do mob:Hidra Dourada
(21/05/2024|01:00:40) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:00:44) [LELEO17|04:7C:16:11:36:0A|138.255.58.218] : MobName:Bjorn dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(21/05/2024|01:00:52) [MICHEL2|C5:38:C7:05:F8:88|189.11.55.131] : MobName:Sanji dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:01:00) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:01:03) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:01:07) [WELXXD1|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Zadkiel dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:01:16) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
