(24/05/2024|00:00:07) [GRATIDAO12|D4:D2:D6:54:19:A3|192.141.82.237] : MobName:BM-Odin dropou o item: Poeira_de_Lactolerium:413 59.236.59.18.59.64 do mob:Morlock
(24/05/2024|00:00:11) [JEFFE90|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:BLACKZONA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:00:27) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:00:34) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:00:35) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Poeira_de_Lactolerium:413 59.147.59.41.59.184 do mob:Cria de Aranha
(24/05/2024|00:00:38) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:00:49) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:01:01) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:01:01) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Poeira_de_Oriharucon:412 59.148.59.160.59.30 do mob:Cria de Aranha
(24/05/2024|00:01:14) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:01:51) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
