(30/05/2024|17:16:05) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|138.118.31.51] : MobName:Dodo1 dropou o item: Pedra_da_Luz:3140 0.0.0.0.0.0 do mob:Urso Polar
(30/05/2024|17:22:32) [1415141|64:49:7D:E3:77:A3|187.73.19.125] : MobName:AntVenon dropou o item: Poeira_de_Lactolerium:413 59.63.59.158.59.22 do mob:Tauron
(30/05/2024|17:28:29) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : MobName:RhadamanthyS dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(30/05/2024|17:28:31) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : MobName:RhadamanthyS dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(30/05/2024|17:31:04) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(30/05/2024|17:31:27) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:34:16) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(30/05/2024|17:35:02) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:35:25) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:36:40) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:37:51) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:38:13) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:38:15) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:38:15) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:39:03) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:39:27) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(30/05/2024|17:40:14) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:40:14) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:40:19) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(30/05/2024|17:41:02) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Poeira_de_Lactolerium:413 59.210.59.221.59.232 do mob:Cria de Aranha
(30/05/2024|17:42:37) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:42:41) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Poeira_de_Oriharucon:412 59.53.59.252.59.224 do mob:MorlockAmald
(30/05/2024|17:43:02) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(30/05/2024|17:43:05) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(30/05/2024|17:43:30) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(30/05/2024|17:44:37) [WELXXD7|00:1A:7D:DA:71:10|138.36.57.51] : MobName:Phoenix dropou o item: Poeira_de_Oriharucon:412 59.141.59.196.59.61 do mob:MorlockAmald
(30/05/2024|17:44:39) [DAMASIO|98:4B:E1:12:0D:95|138.118.91.65] : MobName:XxRisingxX dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 d
