(01/06/2024|13:06:33) [ODAOFICIAL|D8:77:8B:CD:93:F3|177.82.140.34] : Falha na composição anct do item
(01/06/2024|13:27:16) [JOSIMARJP1|B4:2E:99:EE:24:D5|177.155.211.177] : Falha na composição anct do item
(01/06/2024|13:39:42) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:39:42) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:39:42) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:39:42) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:39:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:39:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:39:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:39:46) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:39:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:39:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:39:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:39:50) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:39:53) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:39:53) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:39:53) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:39:53) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:40:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:40:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:40:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:40:45) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:40:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:40:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:40:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:40:48) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:40:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:40:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:40:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:40:52) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:40:57) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:40:57) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:40:57) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:40:57) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:41:00) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:41:00) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:41:00) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:41:00) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:41:03) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:41:03) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:41:03) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:41:03) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia + 5x Jóia_da_Absorção
(01/06/2024|13:42:25) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(01/06/2024|13:42:25) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[1] 2441 - 61,1,0,0,0,0
(01/06/2024|13:42:25) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[2] 2444 - 61,1,0,0,0,0
(01/06/2024|13:42:25) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia Falhou
(01/06/2024|13:42:28) [SARGENTO|30:8D:99:14:82:E6|45.178.19.150] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
