(25/05/2024|14:19:25) [TUMDER|D7:88:53:92:3B:B0|179.221.201.40] : * Item combine ailyn. *
(25/05/2024|14:24:30) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : * Item combine ailyn. *
(25/05/2024|14:24:37) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Falha na composição anct do item
(25/05/2024|14:24:46) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Jogador [MiraTorta] Sucesso no anct item: Arco_Divino 2547 2 63 43 7 0 0 chance [48/48]
(25/05/2024|14:26:26) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : * Item combine ailyn. *
(25/05/2024|14:30:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Falha na composição anct do item
(25/05/2024|14:32:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:32:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:32:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:32:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:33:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:33:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:33:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:10) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:33:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:33:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:33:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:33:12) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:33:14) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
