(26/05/2024|12:09:49) [DAMASIO2|98:4B:E1:12:0D:95|138.118.91.71] : Falha na composição anct do item
(26/05/2024|12:14:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:14:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:14:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:14:21) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:14:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:14:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:14:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:14:38) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:14:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:14:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:14:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:14:51) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:15:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:15:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:15:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:15:08) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:15:20) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:15:20) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:15:20) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:15:20) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:15:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:15:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:15:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:15:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:15:52) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:15:52) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:15:52) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:15:52) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:16:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:16:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:16:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:16:05) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia Falhou
(26/05/2024|12:16:16) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:16:16) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:16:16) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:16:16) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:16:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:16:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:16:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:16:32) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:16:44) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(26/05/2024|12:16:44) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(26/05/2024|12:16:44) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(26/05/2024|12:16:44) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia + 5x Jóia_da_Resistência
(26/05/2024|12:16:54) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.51] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
