(27/05/2024|10:01:40) [VK100|D8:77:8B:CD:93:F3|177.82.140.34] : Jogador [LAURIEL] Sucesso no anct item: Arco_Divino 2547 2 63 43 7 0 0 chance [12/32]
(27/05/2024|10:11:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:07) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:11:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:10) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia + 5x Jóia_da_Proteção
(27/05/2024|10:11:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:12) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:11:14) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:14) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:14) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(27/05/2024|10:11:14) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia Falhou
(27/05/2024|10:11:16) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(27/05/2024|10:11:16) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(27/05/2024|10:11:16) [RAFAELBHZ4|5C:CD:5B:11:E1:ED|177.55.228.122] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
