(27/05/2024|21:56:11) [DANIELXDX|D0:94:66:BC:9B:E2|177.83.202.147] : Falha na composição anct do item
(27/05/2024|22:03:42) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : * Item combine ailyn. *
(27/05/2024|22:03:42) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : Combine Ailyn. Item 1: 2210 - 43,9,73,30,60,10 | Item 2: 2210 - 43,9,73,30,60,10
(27/05/2024|22:03:42) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : Combine Ailyn. Item result: 2210 - 43,9,73,30,60,10
(27/05/2024|22:04:42) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : * Item combine ailyn. *
(27/05/2024|22:28:25) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : * Item combine ailyn. *
(27/05/2024|22:28:25) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : Combine Ailyn. Item 1: 3844 - 43,9,60,10,72,25 | Item 2: 3844 - 43,9,60,10,72,30
(27/05/2024|22:28:25) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : Combine Ailyn. Item result: 3844 - 43,9,60,10,72,25
(27/05/2024|22:28:40) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : * Item combine ailyn. *
(27/05/2024|22:28:40) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : Combine Ailyn. Item 1: 3841 - 43,9,4,50,60,12 | Item 2: 3841 - 43,9,4,60,60,12
(27/05/2024|22:28:40) [YCOUTINHO3|9C:2A:70:8A:82:5A|201.14.93.34] : Combine Ailyn. Item result: 3841 - 43,9,4,60,60,12
(27/05/2024|22:29:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
(27/05/2024|22:29:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[1] 2443 - 61,1,0,0,0,0
(27/05/2024|22:29:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[2] 2442 - 61,1,0,0,0,0
(27/05/2024|22:29:58) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia + 5x Jóia_da_Resistência
(27/05/2024|22:30:09) [KERWOLSJ|1C:1B:0D:F3:25:CF|45.163.70.25] : Combine Alquimia. Item[0] 413 - 61,1,0,0,0,0
