(04/06/2024|06:12:59) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.150] : deleteitem, 1349.2,10,71,30,60,4
(04/06/2024|06:27:33) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:34) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:35) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:36) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:39) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:40) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:43) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:45) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:49) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:50) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:51) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:52) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:54) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 855.43,0,74,9,59,0
(04/06/2024|06:27:55) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:56) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:27:58) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:00) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:01) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:03) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:05) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 855.43,1,59,0,59,0
(04/06/2024|06:28:08) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:09) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:11) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:12) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:13) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:21) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 810.43,0,74,12,59,0
(04/06/2024|06:28:22) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:24) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:25) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:26) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:28) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:30) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 855.43,2,59,0,59,0
(04/06/2024|06:28:34) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:35) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:36) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:39) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:41) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:43) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:47) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:48) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:49) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:50) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:51) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:28:51) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:54) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:55) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:56) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:58) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:28:59) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:00) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:01) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:03) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:04) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:06) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:07) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:13) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:14) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:16) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:17) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:18) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:19) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:22) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:23) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:28) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:29) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:31) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 825.43,0,2,9,59,0
(04/06/2024|06:29:32) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:33) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:29:33) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:35) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 1758.0,0,0,0,0,0
(04/06/2024|06:29:36) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 855.43,0,60,4,74,12
(04/06/2024|06:29:39) [WELXXD3|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 413.59,153,59,140,59,140
(04/06/2024|06:29:47) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:30:13) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 435.61,5,0,0,0,0
(04/06/2024|06:30:14) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 1354.43,0,73,18,60,4
(04/06/2024|06:30:19) [WELXXD|3C:7C:3F:78:2D:AB|138.36.57.136] : deleteitem, 855.8,4,59,0,59,0
(04/06/2024|06:31:11) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2398.0,0,0,0,0,0
(04/06/2024|06:32:02) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 1351.43,1,72,15,59,0
(04/06/2024|06:32:20) [RHADA17|00:E0:4C:A5:32:8A|131.221.99.177] : deleteitem, 2401.0,0,0,0,0,0
