(27/05/2024|10:54:04) [MARCOS1|08:05:6B:7E:54:00|45.236.144.241] : CNFAccountLogin
(27/05/2024|10:54:09) [PDRLOCO2|BE:CD:38:68:FE:ED|24.152.110.52] : CNFAccountLogin
(27/05/2024|10:54:10) [CAPORAL|E0:D5:5E:F0:8E:D8|179.124.196.128] : CNFAccountLogin
(27/05/2024|10:54:13) [D4NIEL|D0:94:66:BC:9B:E2|177.83.202.147] : CNFAccountLogin
(27/05/2024|10:54:14) [MODS01|00:E2:69:6D:06:ED|170.78.33.88] : CNFAccountLogin
(27/05/2024|10:54:14) [WELXXD2|3C:7C:3F:78:2D:AB|138.36.57.51] : CNFAccountLogin
(27/05/2024|10:54:14) [FRAJOLA02|24:F5:AA:4E:C3:3C|177.200.142.139] : CNFAccountLogin
(27/05/2024|10:54:14) [GAMARRA93|00:05:16:62:AE:51|177.155.64.74] : CNFAccountLogin
(27/05/2024|10:54:14) [DREXEL02|95:F2:8C:D6:8D:3D|45.231.175.7] : CNFAccountLogin
(27/05/2024|10:54:14) [TEST|10:78:D2:BA:C8:24|179.125.1.76] : CNFAccountLogin
(27/05/2024|10:54:14) [EYEVISION6|70:85:C2:57:CC:34|177.128.83.124] : CNFAccountLogin
(27/05/2024|10:54:14) [KIACERATO|F4:B5:20:56:7C:C2|177.130.234.149] : CNFAccountLogin
(27/05/2024|10:54:15) [YCOUTINHO1|9C:2A:70:8A:82:5A|201.14.93.34] : CNFAccountLogin
(27/05/2024|10:54:16) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 4113 0 0
(27/05/2024|10:54:19) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.102] : CNFAccountLogin
(27/05/2024|10:54:19) [ADEILDO|18:C0:4D:43:0A:6F|186.195.239.79] : CNFAccountLogin
(27/05/2024|10:54:19) [HENRIQUE93|00:05:16:62:AE:51|177.155.64.74] : CNFAccountLogin
(27/05/2024|10:54:19) [OLIVEIRA4|2C:8D:B1:3C:6D:B4|131.221.90.121] : CNFAccountLogin
(27/05/2024|10:54:19) [OVIVAZ1|3C:7C:3F:7A:43:E2|191.191.161.69] : CNFAccountLogin
(27/05/2024|10:54:19) [A740907|F8:6B:33:57:99:7E|36.238.230.223] : CNFAccountLogin
(27/05/2024|10:54:19) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : CNFAccountLogin
(27/05/2024|10:54:23) [YYLERS|00:E2:69:6D:06:ED|170.78.33.88] : CNFAccountLogin
(27/05/2024|10:54:24) [CAPORAL2|E0:D5:5E:F0:8E:D8|179.124.196.128] : CNFAccountLogin
(27/05/2024|10:54:24) [FRAJOLA01|24:F5:AA:4E:C3:3C|177.200.142.139] : CNFAccountLogin
(27/05/2024|10:54:24) [PIG3|F4:B5:20:56:7C:C2|177.130.234.149] : CNFAccountLogin
(27/05/2024|10:54:24) [WELXXD5|3C:7C:3F:78:2D:AB|138.36.57.51] : CNFAccountLogin
(27/05/2024|10:54:24) [LKSBLOOD|70:4D:7B:CE:F9:E7|177.12.16.102] : CNFAccountLogin
(27/05/2024|10:54:24) [PDRLOCO3|BE:CD:38:68:FE:ED|24.152.110.52] : CNFAccountLogin
(27/05/2024|10:54:28) [-system|-|NO_VALID_IP] : err,No empty mobgrid(1): 3280 0 0
(27/05/2024|10:54:28) [-system|-|NO_VALID_IP] : err,zero divide : 3771
(27/05/2024|10:54:29) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : CNFAccountLogin
(27/05/2024|10:54:29) [ADEILDO02|18:C0:4D:43:0A:6F|186.195.239.79] : CNFAccountLogin
(27/05/2024|10:54:29) [WELXXD4|3C:7C:3F:78:2D:AB|138.36.57.51] : CNFAccountLogin
(27/05/2024|10:54:29) [WELXXD1|95:F2:8C:D6:8D:3D|45.231.175.7] : CNFAccountLogin
(27/05/2024|10:54:29) [GMGMGM|10:78:D2:BA:C8:24|179.125.1.76] : CNFAccountLogin
(27/05/2024|10:54:29) [LKSLOJA|70:4D:7B:CE:F9:E7|177.12.16.102] : CNFAccountLogin
(27/05/2024|10:54:30) [VINICIUS93|00:05:16:62:AE:51|177.155.64.74] : CNFAccountLogin
(27/05/2024|10:54:34) [PIG4|F4:B5:20:56:7C:C2|177.130.234.149] : CNFAccountLogin
(27/05/2024|10:54:34) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : CNFAccountLogin
